author,updated_at,like_count,text,video_id,public,tokens,word_count
@aqueminteressarpossa,2024-06-05T22:14:26Z,0,Não conhecia seu canal e amei sua personalidade. Sou preta mas não sou retinta. Tenho muita dificuldade de achar corretivo e base para meu tom de pele que é amarelada.,nxdjgqKkOlI,True,"['conhecia', 'canal', 'amei', 'personalidade', 'preta', 'retinta', 'muita', 'dificuldade', 'achar', 'corretivo', 'base', 'tom', 'pele', 'amarelada']",14
@alexiafonsecacordeiro1482,2024-05-23T14:00:30Z,1,Eu amo vídeos longos. E traz maiiissss,nxdjgqKkOlI,True,"['amo', 'vamos', 'longos', 'traz', 'maiiissss']",5
@ateliegirassol2204,2024-05-17T00:22:51Z,0,"Me julguem, achei o blush lindo na sua pele. Ninguém merece ""chinelada"" na cara😅",nxdjgqKkOlI,True,"['julguem', 'achei', 'blusa', 'lindo', 'pele', 'ninguem', 'merece', 'chineladas', 'cara']",9
@resenhassonsasaleatorias,2024-05-04T13:02:29Z,0,Realmente na pele negra não rola...comprei o primer e vou usar hj...apesar da minha pele ser clara eu já tô com zero expectativas 😢,nxdjgqKkOlI,True,"['realmente', 'pele', 'negra', 'rolacomprei', 'primor', 'vou', 'usar', 'apesar', 'pele', 'clara', 'j', 't', 'zero', 'expectativa']",14
@laryssamessias5987,2024-04-16T09:38:56Z,0,"Eu sou negra, gosto do contorno e do blush sheglam MAS eu sou mais clara que a Ju, e embora gosto de make rebocão o contorno e o blush eu gosto suaves então acho que eu gosto por isso",nxdjgqKkOlI,True,"['negra', 'gosto', 'contorno', 'blusa', 'chegam', 'clara', 'embora', 'gosto', 'make', 'reboco', 'contorno', 'blusa', 'gosto', 'suaves', 'ento', 'acho', 'gosto']",17
@angelacruzlima3244,2024-03-27T22:58:29Z,0,Nem sabia disso menina 😂,nxdjgqKkOlI,True,"['sabia', 'disso', 'menina']",3
@stefanevivianaraujobrandao3943,2024-03-27T00:41:16Z,0,Mulher qual cor do corretivooooo? Coloca o nome das cores 🥹🙏🏾🙏🏾🙏🏾,nxdjgqKkOlI,True,"['mulher', 'cor', 'corretivooooo', 'coloca', 'nome', 'cores']",6
@stefanevivianaraujobrandao3943,2024-03-27T00:38:50Z,0,"Amei seus feedbacks, lkkkkk vou comprar só o corretivo 🤭",nxdjgqKkOlI,True,"['amei', 'feedbacks', 'lkkkkk', 'vou', 'comprar', 's', 'corretivo']",7
@aninhasousa7209,2024-03-17T20:23:42Z,0,Maquiagem feita pra pessoas de pele clara..,nxdjgqKkOlI,True,"['maquinem', 'feita', 'pra', 'pessoas', 'pele', 'clara']",6
@edilaine6036,2024-03-11T18:34:13Z,0,"Ju, amei essa maquiagem que você fez. Linda demais. Bjs😊",nxdjgqKkOlI,True,"['amei', 'maquinem', 'fez', 'linda', 'demais', 'bus']",6
